Date,Episode,Movies,Documentaries,Shows,Books,Podcasts,Music,Articles,Misc.
7/4/2022,Connie Britton,This is Where I Leave You,Ken Burns Hemingway,Friday Night Lights,Dear Edward,,,,
7/4/2022,Connie Britton,Out of Sight,,Dear Edward (Apple TV),This is Where I Leave You,,,,
7/4/2022,Connie Britton,Top Gun,,White Lotus (HBO),,,,,
7/4/2022,Connie Britton,,,Mamas (Roku),,,,,
7/4/2022,Connie Britton,,,Prehistoric Planet (Apple TV),,,,,
7/4/2022,Connie Britton,,,The Old Man (Hulu),,,,,
,,,,,,,,,
6/30/2022,Brett Scott,,,,Cloud Money,,,,
6/30/2022,Brett Scott,,,,"Debt the First 5,000 Years",,,,
6/30/2022,Brett Scott,,,,"Snow Crash, Neil Stevensen",,,,
,,,,,,,,,
6/6/2022,Zazie Beetz,Top Gun,,Atlanta,Zazie dans le Métro,,The Lost Daughter,,
6/6/2022,Zazie Beetz,,,,"Henry and June, Anaïs Nin",,Inside Out,,
6/6/2022,Zazie Beetz,,,,"Little Birds, Anaïs Nin",,"Watermelon Sugar, Harry Styles",,
6/6/2022,Zazie Beetz,,,,"Sapiens: A Brief History of Humankind, Yuval Noah Harari",,"Call me Maybe, Carly Rae Jepsen",,
6/6/2022,Zazie Beetz,,,,"Finding Me: A Memoir, Viola Davis",,"In the Middle, Zedd, Maren Morris & Grey",,
6/6/2022,Zazie Beetz,,,,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress, Steven Pinker",,,,
6/6/2022,Zazie Beetz,,,,"Down and Out in Paris and London, George Orwell",,,,
,,,,,,,,,
7/11/2022,David Sedaris,,Andre the Giant ,The Old Man,Happy Go Lucky ,"Revisionist History, Apple Podcasts",,Little Lotta comic strips,
7/11/2022,David Sedaris,,,Only Murders in the Building,"Blitzed: Drugs in the Third Reich, Norman Ohler",,,An Anaconda's Play Date With Dolphins Took a Strange Turn,
,,,,,,,,,
7/7/2022,Kathleen Belew,,Oklahoma City,,"Bring the War Home: The White Power Movement and Paramilitary America, Kathleen Belew ",,,,
7/7/2022,Kathleen Belew,,Benjamin Franklin: A Ken Burns Film,,"Washington: A Life, Ron Chernow",,,,
7/7/2022,Kathleen Belew,,,,"Aftermath: Violence and the Remaking of a Self, Susan Brison",,,,
,,,,,,,,,
7/14/2022,Seirian Sumner,Bee Movie,,60 Minutes Clone Collapse - What's Wrong with the Bees?,Endless Forms: The Secret World of Wasps,,,,
7/14/2022,Seirian Sumner,,,,Dopamine Nation,,,,
,,,,,,,,,
7/14/2022,Seirian Sumner,,,As We See It,,Take Your Shoes Off,"Your Song, Elton John",,
7/14/2022,Seirian Sumner,,,Undateable,,Riffin with Griffin,"All My Life, K-Ci & JoJo",,
7/14/2022,Seirian Sumner,,,,,,"Piano Man, Billy Joel",,
7/14/2022,Seirian Sumner,,,,,,"My Heart Will Go On, Celine Deon",,
,,,,,,,,,
7/21/2022,R.L. Stine,R.L. Stine's Mostly Ghostly,They Call Me Magic,The Nightmare Room,"Garbage Pail Kids, R.L. Stine, book #1 on bookshop.org",,,,
7/21/2022,R.L. Stine,Death on the Nile,,Goosebumps,"Ray Bradbury, author page on bookshop.org",,,,
7/21/2022,R.L. Stine,Murder on the Orient Express,,The Rehearsal,"Harry Potter series, JK Rowling, book #1 on bookshop.org",,,,
7/21/2022,R.L. Stine,The Worst Person in the World,,,"Jack Reacher series, Lee Child, book #1 on bookshop.org",,,,
7/21/2022,R.L. Stine,,,,"Haunting with the Stars (Goosebumps Slappyworld #17), R.L. Stine bookshop.org",,,,
7/21/2022,R.L. Stine,,,,"The Nightmare Room series, R.L. Stine, book #1 on goodreads",,,,
7/21/2022,R.L. Stine,,,,"Rotten School, R.L. Stine, bookshop.org",,,,
7/21/2022,R.L. Stine,,,,"Stinetinglers: All New Stories by the Master of Scary Tales, R.L. Stine, bookshop.org",,,,
7/21/2022,R.L. Stine,,,,"Inspector Rebus series, Ian Rankin, book #1 on bookshop.org",,,,
7/21/2022,R.L. Stine,,,,"It Came from Ohio!: My Life as a Writer, R.L. Stine, bookshop.org",,,,
7/21/2022,R.L. Stine,,,,"Rick Steves Vienna, Salzburg & Tirol, bookshop.org",,,,
7/21/2022,R.L. Stine,,,,"Goosebumps series, R.L. Stine, list of books on goodreads",,,,
7/21/2022,R.L. Stine,,,,"Fear Street series, R.L. Stine, book #1 on bookshop.org",,,,
7/21/2022,R.L. Stine,,,,"Mostly Ghostly series, R.L. Stine, list of books on goodreads",,,,
7/21/2022,R.L. Stine,,,,"Goosebumps SlappyWorld series, R.L. Stine, book #1 on bookshop.org",,,,
,,,,,,,,,
7/25/22,John Early,Fort Tilden,"The Most Hated Family in America, Louis Theroux",Search Party,"Washington: A Life, Ron Chernow, bookshop.org","Nobody's Listening, Right?, Apple Podcasts","Henry Mancini, Baby Elephant Walk",,
7/25/22,John Early,Phantom Thread,,The After Party,,,,,
7/25/22,John Early,Top Gun - Maverick,,Thirty Rock,,,,,
7/25/22,John Early,Invasion of the Body Snatchers,,Would it Kill you to Laugh,,,,,
7/25/22,John Early,The Path Between the Seas,,The Characters,,,,,
7/25/22,John Early,To Kill a Mockingbird,,Will and Grace,,,,,
7/25/22,John Early,Soul Man,,,,,,,
7/25/22,John Early,Shawshank Redemption,,,,,,,
7/25/22,John Early,Let's Go to Prison,,,,,,,
7/25/22,John Early,Serial Mom,,,,,,,
7/25/22,John Early,Pink Flamingo,,,,,,,
7/25/22,John Early,Polyester,,,,,,,
7/25/22,John Early,Hitari,,,,,,,
7/25/22,John Early,Zathura,,,,,,,
,,,,,,,,,
